dataset,filename,source_url,bytes,sha256,notes
CSST-Challenge-11,CSST_MSC_MS_WIDE_20280101000000_20280101000230_10100300001_12_L0_V01.fits,https://nadc.china-vo.org/events/CSSTdatachallenge2026/info/challenge_11th,170182080,8bfa384ae1d432000746aaef4d5a3952dc58a3358c5478f0980e9dc0e1d0adff,chip 12 image downloaded from the official challenge package
CSST-Challenge-11,CSST_MSC_MS_WIDE_20280101000000_20280101000230_10100300001_13_L0_V01.fits,https://nadc.china-vo.org/events/CSSTdatachallenge2026/info/challenge_11th,170182080,591f7a3a2c03b054328d7103f2c85170aba49d797a6561db451d326d175b4c40,chip 13 image downloaded from the official challenge package
CSST-Challenge-11,CSST_MSC_MS_WIDE_20280101000000_20280101000230_10100300001_17_L0_V01.fits,https://nadc.china-vo.org/events/CSSTdatachallenge2026/info/challenge_11th,170182080,e04599c74c201881f723b8e2c1868d5690b6798e4971558c1e4ea3f4609e2656,chip 17 image downloaded from the official challenge package
CSST-Challenge-11,CSST_MSC_MS_WIDE_20280101000000_20280101000230_10100300001_18_L0_V01.fits,https://nadc.china-vo.org/events/CSSTdatachallenge2026/info/challenge_11th,170182080,96e14cec0bb3729d79425f188e1b31144a806c4be401c09645cd7718886a2326,chip 18 image downloaded from the official challenge package
CSST-Challenge-11,CSST_MSC_MS_WIDE_20280101000000_20280101000230_10100300001_12_L0_V01_top1000.cat,https://nadc.china-vo.org/events/CSSTdatachallenge2026/info/challenge_11th,244315,5033a9882fefb001ae4e5241d1f4900eb5124abc973915be21eab689c656bea8,chip 12 bright-star reference catalogue
CSST-Challenge-11,CSST_MSC_MS_WIDE_20280101000000_20280101000230_10100300001_13_L0_V01_top1000.cat,https://nadc.china-vo.org/events/CSSTdatachallenge2026/info/challenge_11th,244152,46dcaeb534eef966e32d3cc92d3840e7a905dec13aceb2e99d5c8a879584a9b7,chip 13 bright-star reference catalogue
CSST-Challenge-11,CSST_MSC_MS_WIDE_20280101000000_20280101000230_10100300001_17_L0_V01_top1000.cat,https://nadc.china-vo.org/events/CSSTdatachallenge2026/info/challenge_11th,243173,5f59cb8a65599897c973986913fcdda60683f4ff8182906f9e606a3e966f3972,chip 17 bright-star reference catalogue
CSST-Challenge-11,CSST_MSC_MS_WIDE_20280101000000_20280101000230_10100300001_18_L0_V01_top1000.cat,https://nadc.china-vo.org/events/CSSTdatachallenge2026/info/challenge_11th,244518,5aa53af54f5f128b6028f062d0331271905e734aa148a638b8f3c52e8143610b,chip 18 bright-star reference catalogue
MAST-HLSP-ACSGGCT-v2,hlsp_acsggct_hst_acs-wfc_ngc6397_f606w_v2_img.fits,https://archive.stsci.edu/pub/hlsp/acsggct/ngc6397/hlsp_acsggct_hst_acs-wfc_ngc6397_f606w_v2_img.fits,144002880,6833575d7e3aed784f5425d16f96c1550c74827c0428c0fd5e5d591c12e7a096,NGC 6397 F606W image
MAST-HLSP-ACSGGCT-v2,hlsp_acsggct_hst_acs-wfc_ngc6752_f606w_v2_img.fits,https://archive.stsci.edu/pub/hlsp/acsggct/ngc6752/hlsp_acsggct_hst_acs-wfc_ngc6752_f606w_v2_img.fits,144002880,a89a2b91a9c15baeeccc60c8f78a0449cbf2ee444d378def7933d892ac29d860,NGC 6752 F606W image
MAST-HLSP-ACSGGCT-v2,hlsp_acsggct_hst_acs-wfc_ngc1851_f606w_v2_img.fits,https://archive.stsci.edu/pub/hlsp/acsggct/ngc1851/hlsp_acsggct_hst_acs-wfc_ngc1851_f606w_v2_img.fits,144002880,7c1f79d06d1cadcae20e110e7f2210716a1409fa4598bba9bd4e1940c40f0e1c,NGC 1851 F606W image
MAST-HLSP-ACSGGCT-v2,hlsp_acsggct_hst_acs-wfc_ngc6397_r.rdviq.cal.adj.zpt,https://archive.stsci.edu/pub/hlsp/acsggct/ngc6397/hlsp_acsggct_hst_acs-wfc_ngc6397_r.rdviq.cal.adj.zpt,2882263,9a2b7a7de42185967234258434145898b27c1966d264c075b17053949e1d6dcf,NGC 6397 reference catalogue
MAST-HLSP-ACSGGCT-v2,hlsp_acsggct_hst_acs-wfc_ngc6752_r.rdviq.cal.adj.zpt,https://archive.stsci.edu/pub/hlsp/acsggct/ngc6752/hlsp_acsggct_hst_acs-wfc_ngc6752_r.rdviq.cal.adj.zpt,9454606,fc29afb4e51353c16f1342bccbe959864ea12aa07e1a0baf93c49af5d9bc0f67,NGC 6752 reference catalogue
MAST-HLSP-ACSGGCT-v2,hlsp_acsggct_hst_acs-wfc_ngc1851_r.rdviq.cal.adj.zpt,https://archive.stsci.edu/pub/hlsp/acsggct/ngc1851/hlsp_acsggct_hst_acs-wfc_ngc1851_r.rdviq.cal.adj.zpt,25839908,37b07c1323073fc0cdb52183a2290af477b2d665e7677bd48bf5674e89c56d69,NGC 1851 reference catalogue
