evidence_tier,field,method_id,method,method_group,status,protocol,source,test_references,recovery_metric,recovery_percent,high_density_v20_recall_percent,high_density_v20_n,astrometric_rms_mas,photometric_rms_mag,runtime_s,runtime_s_per_mpix,note
HST/ACS single-F606W controlled,ngc2808,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6485,held_out_catalogue_recovery,9.252,9.201,2978,50.3380,1.64059,0.178,0.123,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc2808,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6485,held_out_catalogue_recovery,7.494,6.985,2978,50.9254,1.88605,6.858,4.762,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc2808,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6485,held_out_catalogue_recovery,9.160,9.167,2978,50.2091,1.58422,30.637,21.276,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc2808,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6485,held_out_catalogue_recovery,11.365,11.518,2978,50.4662,1.66008,107.677,74.776,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc2808,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6485,held_out_catalogue_recovery,10.501,10.779,2978,50.1501,1.68193,121.309,84.242,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc5286,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6322,held_out_catalogue_recovery,17.827,43.534,1330,2.4600,0.17300,0.150,0.104,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc5286,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6322,held_out_catalogue_recovery,42.676,58.571,1330,9.0357,0.31754,12.187,8.463,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc5286,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6322,held_out_catalogue_recovery,17.684,43.459,1330,6.7972,0.18160,10.851,7.535,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc5286,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6322,held_out_catalogue_recovery,29.215,59.549,1330,7.2213,0.11451,33.646,23.365,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc5286,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6322,held_out_catalogue_recovery,51.155,90.977,1330,3.7495,0.11353,97.914,67.996,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6388,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6939,held_out_catalogue_recovery,47.874,77.419,1519,5.1971,0.20904,0.201,0.139,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6388,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6939,held_out_catalogue_recovery,32.872,72.614,1519,15.8252,0.36925,9.052,6.286,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6388,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6939,held_out_catalogue_recovery,47.918,77.485,1519,4.4685,0.11553,36.437,25.303,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6388,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6939,held_out_catalogue_recovery,53.696,82.028,1519,5.4335,0.16835,108.733,75.509,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6388,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6939,held_out_catalogue_recovery,52.025,80.579,1519,5.4373,0.16681,126.798,88.054,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6441,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6829,held_out_catalogue_recovery,15.258,45.859,990,3.1482,0.16149,0.150,0.104,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6441,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6829,held_out_catalogue_recovery,30.458,69.798,990,16.3204,0.35290,7.813,5.426,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6441,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6829,held_out_catalogue_recovery,15.229,45.859,990,7.6620,0.17902,10.661,7.404,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6441,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6829,held_out_catalogue_recovery,25.318,52.525,990,12.8552,0.20320,35.784,24.850,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6441,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,6829,held_out_catalogue_recovery,53.419,86.263,990,6.1494,0.19226,133.937,93.012,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc0104,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5389,held_out_catalogue_recovery,22.138,18.718,3307,1.8977,0.11383,0.156,0.109,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
