field,spatial_high_density_v20_recall_percent,photutils_high_density_v20_recall_percent,delta_recall_percentage_points,spatial_astrometric_rms_mas,photutils_astrometric_rms_mas,delta_astrometric_rms_mas_spatial_minus_photutils,spatial_photometric_rms_mag,photutils_photometric_rms_mag,delta_photometric_rms_mag_spatial_minus_photutils
ngc0104,67.130,18.809,48.321,2.1126,4.3174,-2.2048,0.08011,0.12147,-0.04136
ngc0362,75.149,24.950,50.199,2.4616,3.8964,-1.4348,0.09589,0.25706,-0.16117
ngc1851,86.330,34.503,51.827,2.1471,3.7732,-1.6261,0.08237,0.28268,-0.20031
ngc2808,10.779,9.167,1.612,50.1501,50.2091,-0.0590,1.68193,1.58422,0.09771
ngc5286,90.977,43.459,47.518,3.7495,6.7972,-3.0477,0.11353,0.18160,-0.06807
ngc6093,91.679,56.597,35.082,2.4417,3.0648,-0.6231,0.08747,0.20983,-0.12236
ngc6388,80.579,77.485,3.094,5.4373,4.4685,0.9688,0.16681,0.11553,0.05128
ngc6397,66.667,55.556,11.111,1.1038,0.9827,0.1211,0.03025,0.04012,-0.00987
ngc6441,86.263,45.859,40.404,6.1494,7.6620,-1.5126,0.19226,0.17902,0.01324
ngc6624,92.284,68.056,24.228,1.5026,1.3489,0.1537,0.05833,0.10605,-0.04772
ngc6752,88.308,56.965,31.343,1.2660,1.0526,0.2134,0.03699,0.03907,-0.00208
