all_catalogue_matches,candidates,chip,crop_x0,crop_y0,method,runtime_s,status,test_magnitude_rms_mag,test_position_rms_mas,test_recovered,test_recovery,test_references
110,5720,12,0,7200,DAOStarFinder,0.19174360000761226,complete,0.06507091829445456,5.004240043185436,46,0.6666666666666666,69
140,5763,12,0,7200,SEP/SExtractor-style,0.5176207000040449,complete,0.315725335499722,23.29313346264751,63,0.9130434782608695,69
111,5704,12,0,7200,Photutils PSFPhotometry,20.123028000001796,complete,0.039132274237227344,4.461499428055984,46,0.6666666666666666,69
118,3935,12,0,7200,AstroCFR ePSF + residual deblend,24.59761840000283,complete,0.05598159042735215,5.1643795233449605,49,0.7101449275362319,69
118,3934,12,0,7200,AstroCFR spatial-ePSF + joint fit,29.238893700006884,complete,0.05938418985713681,5.160021709639151,49,0.7101449275362319,69
125,5859,13,0,3600,DAOStarFinder,0.19114070001523942,complete,0.15449682830215394,8.06381044496221,32,0.5245901639344263,61
147,22889,13,0,3600,SEP/SExtractor-style,18.788347799971234,complete,0.41244029343458694,48.795541577360126,45,0.7377049180327869,61
125,5859,13,0,3600,Photutils PSFPhotometry,20.148420699988492,complete,0.08973359468269296,14.247172314515801,32,0.5245901639344263,61
125,3941,13,0,3600,AstroCFR ePSF + residual deblend,24.35126979998313,complete,0.038263596119979586,5.20485567594896,32,0.5245901639344263,61
125,3941,13,0,3600,AstroCFR spatial-ePSF + joint fit,28.343741699995007,complete,0.06968999613910422,5.510608145090788,32,0.5245901639344263,61
17,5405,17,4800,6000,DAOStarFinder,0.1608589999959804,complete,0.010163282078122126,4.330040813076557,7,0.875,8
20,8370,17,4800,6000,SEP/SExtractor-style,1.1050685999798588,complete,0.05725932405932022,15.164097546092083,8,1.0,8
17,5399,17,4800,6000,Photutils PSFPhotometry,16.719269900000654,complete,0.007302036788152455,3.8879838741808643,7,0.875,8
16,3932,17,4800,6000,AstroCFR ePSF + residual deblend,20.490588599990588,complete,0.01587416800202377,7.8201466318299575,6,0.75,8
16,3930,17,4800,6000,AstroCFR spatial-ePSF + joint fit,26.66306579997763,complete,0.02093064363125806,7.3096635844198925,6,0.75,8
26,5490,18,7200,3600,DAOStarFinder,0.17321169999195263,complete,0.011818532079582342,18.65092010036147,6,0.6,10
35,20934,18,7200,3600,SEP/SExtractor-style,12.47875449998537,complete,0.1783177086754784,28.423498754031655,9,0.9,10
26,5490,18,7200,3600,Photutils PSFPhotometry,16.79106459999457,complete,0.017405418382636668,14.265845467325015,6,0.6,10
31,3923,18,7200,3600,AstroCFR ePSF + residual deblend,23.58434689999558,complete,0.029589148030898564,6.103234910932006,7,0.7,10
31,3922,18,7200,3600,AstroCFR spatial-ePSF + joint fit,30.796160499972757,complete,0.033234790723340304,11.902232153018584,7,0.7,10
